timestamp,log_type,event_id,user,action,source_file,risk
2026-03-27 18:47:41.565569+00:00,Sysmon,16,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:47:41.690102+00:00,Sysmon,4,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:47:41.692379+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:47:41.692778+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:47:42.656672+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.875471+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.876146+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.948906+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.969128+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.969400+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.969849+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.973255+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:04.973680+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:05.035816+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:05.064472+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:13.093681+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:48:13.121437+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:48:13.156706+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:48:50.336546+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:49:41.725101+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:50:30.521914+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:50:30.685286+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:51:59.291872+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:52:13.597679+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:52:27.632399+00:00,Sysmon,1,system,Process Created,sysmon1st.evtx,NORMAL
2026-03-27 18:52:30.119001+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
2026-03-27 18:53:13.095610+00:00,Sysmon,5,system,,sysmon1st.evtx,NORMAL
